Volatilidade_data,Volatilidade_port1,Volatilidade_port4,Volatilidade_port8
2012-01-18,0.0188,0.0387,0.0505
2012-01-19,0.0188,0.0387,0.0505
2012-01-20,0.0188,0.0386,0.0504
2012-01-23,0.0188,0.0386,0.0503
2012-01-24,0.0188,0.0386,0.0502
2012-01-26,0.0189,0.0387,0.0503
2012-01-27,0.0188,0.0387,0.0503
2012-01-30,0.0188,0.0387,0.0503
2012-01-31,0.0188,0.0387,0.0503
2012-02-01,0.0189,0.0388,0.0502
2012-02-02,0.0189,0.0388,0.0501
2012-02-03,0.0189,0.0388,0.0502
2012-02-06,0.0189,0.0388,0.0502
2012-02-07,0.0189,0.0388,0.0501
2012-02-08,0.0189,0.0388,0.0501
2012-02-09,0.0189,0.0388,0.0502
2012-02-10,0.0189,0.0388,0.0502
2012-02-13,0.0189,0.039,0.0503
2012-02-14,0.0189,0.039,0.0504
2012-02-15,0.0189,0.0389,0.0502
2012-02-16,0.0189,0.0389,0.0502
2012-02-17,0.0189,0.0388,0.0502
2012-02-22,0.0189,0.0388,0.0502
2012-02-23,0.0189,0.0388,0.0502
2012-02-24,0.0188,0.0388,0.0501
2012-02-27,0.0188,0.0388,0.0501
2012-02-29,0.0189,0.0389,0.0502
2012-03-01,0.0188,0.0388,0.0502
2012-03-02,0.0189,0.0389,0.0502
2012-03-05,0.0189,0.0388,0.0501
2012-03-06,0.019,0.039,0.0502
2012-03-07,0.019,0.0391,0.0503
2012-03-08,0.0191,0.0392,0.0505
2012-03-09,0.0191,0.0392,0.0505
2012-03-12,0.0191,0.0392,0.0505
2012-03-13,0.0192,0.0393,0.0506
2012-03-14,0.0192,0.0393,0.0506
2012-03-15,0.0192,0.0393,0.0506
2012-03-16,0.0192,0.0393,0.0506
2012-03-19,0.0192,0.0393,0.0506
2012-03-20,0.0192,0.0393,0.0506
2012-03-21,0.0192,0.0393,0.0506
2012-03-22,0.0192,0.0393,0.0506
2012-03-23,0.0192,0.0393,0.0506
2012-03-26,0.0192,0.0393,0.0506
2012-03-27,0.0192,0.0392,0.0505
2012-03-28,0.0192,0.0393,0.0505
2012-03-29,0.0192,0.0393,0.0505
2012-03-30,0.0192,0.0393,0.0502
2012-04-02,0.0192,0.0392,0.0502
2012-04-03,0.0192,0.0393,0.0502
2012-04-04,0.0192,0.0393,0.0503
2012-04-05,0.0192,0.0393,0.0502
2012-04-09,0.0192,0.0393,0.0503
2012-04-10,0.0193,0.0394,0.0504
2012-04-11,0.0193,0.0394,0.0504
2012-04-12,0.0194,0.0396,0.0506
2012-04-13,0.0194,0.0397,0.0508
2012-04-16,0.0194,0.0397,0.0508
2012-04-17,0.0194,0.0397,0.0509
2012-04-18,0.0193,0.0397,0.0509
2012-04-19,0.0193,0.0396,0.0507
2012-04-20,0.0193,0.0396,0.0508
2012-04-23,0.0193,0.0397,0.0508
2012-04-24,0.0193,0.0397,0.0508
2012-04-25,0.0193,0.0397,0.051
2012-04-26,0.0193,0.0396,0.0509
2012-04-27,0.0193,0.0396,0.0509
2012-04-30,0.0193,0.0396,0.0509
2012-05-02,0.0194,0.0397,0.0509
2012-05-03,0.0194,0.0397,0.0508
2012-05-04,0.0194,0.0397,0.0508
2012-05-07,0.0193,0.0395,0.0505
2012-05-08,0.0194,0.0396,0.0506
2012-05-09,0.0195,0.0397,0.0506
2012-05-10,0.0195,0.0397,0.0506
2012-05-11,0.0195,0.0397,0.0506
2012-05-14,0.0195,0.0398,0.0506
2012-05-15,0.0196,0.0399,0.0506
2012-05-16,0.0195,0.0399,0.0506
2012-05-17,0.0197,0.0401,0.0507
2012-05-18,0.0196,0.04,0.0506
2012-05-21,0.0197,0.0402,0.0506
2012-05-22,0.0201,0.0406,0.0507
2012-05-23,0.0201,0.0405,0.0507
2012-05-24,0.0202,0.0406,0.0508
2012-05-25,0.0203,0.0407,0.0507
2012-05-29,0.0203,0.0407,0.051
2012-05-30,0.0203,0.0408,0.0512
2012-05-31,0.0203,0.0408,0.0512
2012-06-01,0.0203,0.0409,0.0512
2012-06-04,0.0204,0.0409,0.0512
2012-06-05,0.0204,0.0409,0.0512
2012-06-06,0.0204,0.041,0.0513
2012-06-08,0.0205,0.0411,0.0514
2012-06-11,0.0205,0.0411,0.0513
2012-06-12,0.0205,0.0412,0.0514
2012-06-13,0.0205,0.0412,0.0514
2012-06-14,0.0205,0.0412,0.0514
2012-06-15,0.0205,0.0412,0.0514
2012-06-18,0.0205,0.0412,0.0514
2012-06-19,0.0205,0.041,0.051
2012-06-20,0.0205,0.041,0.051
2012-06-21,0.0205,0.0412,0.0511
2012-06-22,0.0205,0.0411,0.0511
2012-06-25,0.0205,0.0412,0.0512
2012-06-26,0.0205,0.0412,0.0512
2012-06-27,0.0205,0.0413,0.0512
2012-06-28,0.0205,0.0412,0.0512
2012-06-29,0.0206,0.0415,0.0515
2012-07-02,0.0206,0.0416,0.0516
