Variação_12_Meses_(%)_data,Variação_12_Meses_(%)_port1,Variação_12_Meses_(%)_port4,Variação_12_Meses_(%)_port8
2012-01-18,11.351,10.258,13.0628
2012-01-19,11.4479,10.3612,13.1395
2012-01-20,11.4154,10.2155,12.7257
2012-01-23,11.3888,10.2729,13.1279
2012-01-24,11.3017,10.1101,12.9318
2012-01-26,11.5552,10.5311,13.3941
2012-01-27,11.6603,10.6939,13.4238
2012-01-30,11.7264,10.7769,13.5326
2012-01-31,11.7401,10.8488,13.7743
2012-02-01,11.7959,11.0179,14.0311
2012-02-02,11.8459,11.0902,13.7935
2012-02-03,11.9067,11.2415,13.9857
2012-02-06,11.874,11.2273,13.9914
2012-02-07,12.0338,11.5395,14.2315
2012-02-08,12.1185,11.6819,14.3862
2012-02-09,12.1798,11.7333,14.3497
2012-02-10,12.1382,11.5297,14.2513
2012-02-13,12.2946,12.0183,14.6645
2012-02-14,12.3045,12.0456,14.6423
2012-02-15,12.4599,12.4118,14.9727
2012-02-16,12.5477,12.5773,14.978
2012-02-17,12.4788,12.4371,14.9895
2012-02-22,12.5355,12.5746,15.0774
2012-02-23,12.513,12.5099,15.0542
2012-02-24,12.6035,12.6255,14.6757
2012-02-27,12.5566,12.5563,14.8853
2012-02-29,12.6433,12.6986,15.169
2012-03-01,12.9099,13.1603,15.2646
2012-03-02,13.0646,13.3786,15.3325
2012-03-05,12.8807,12.9288,14.8646
2012-03-06,12.6767,12.5003,14.6619
2012-03-07,12.8248,12.786,15.0056
2012-03-08,12.9237,12.9364,15.4086
2012-03-09,12.9855,12.9787,15.5199
2012-03-12,12.9278,12.9669,15.904
2012-03-13,13.2465,13.7525,16.8136
2012-03-14,13.1773,13.6558,16.8821
2012-03-15,13.1158,13.5944,16.992
2012-03-16,13.0692,13.4936,16.8091
2012-03-19,12.9558,13.3491,16.8085
2012-03-20,12.9786,13.5248,17.1461
2012-03-21,12.8887,13.38,17.2915
2012-03-22,12.6631,12.9577,16.8147
2012-03-23,12.6693,12.979,16.7821
2012-03-26,12.7742,13.2225,16.9277
2012-03-27,12.7802,13.3169,17.0698
2012-03-28,12.6589,13.0935,17.1551
2012-03-29,12.6082,13.004,17.1995
2012-03-30,12.6206,13.0705,17.5607
2012-04-02,12.8268,13.55,18.1207
2012-04-03,12.7478,13.3775,17.9857
2012-04-04,12.5811,12.9939,17.4962
2012-04-05,12.5746,13.0539,17.3899
2012-04-09,12.3857,12.7396,17.2369
2012-04-10,12.162,12.262,16.5101
2012-04-11,12.1336,12.2121,16.4831
2012-04-12,12.2872,12.5669,16.8389
2012-04-13,12.2109,12.3773,16.4358
2012-04-16,12.1736,12.2987,16.2957
2012-04-17,12.1366,12.3158,16.4051
2012-04-18,12.0797,12.255,16.3953
2012-04-19,12.0197,12.0196,16.0276
2012-04-20,11.973,11.8942,15.9045
2012-04-23,11.8968,11.708,15.7835
2012-04-24,12.0273,11.8911,15.6238
2012-04-25,12.0233,11.9434,15.9907
2012-04-26,12.1206,12.1826,16.3226
2012-04-27,12.2005,12.3504,16.6936
