Variação_12_Meses_(%)_data,Variação_12_Meses_(%)_CDI,Variação_12_Meses_(%)_IMAB5,Variação_12_Meses_(%)_IMAB,Variação_12_Meses_(%)_IHFA,Variação_12_Meses_(%)_IBOV,Variação_12_Meses_(%)_port1,Variação_12_Meses_(%)_port4,Variação_12_Meses_(%)_port8
2012-01-19,0.1102,0.1472,0.1459,0.111,-0.1126,0.1142,0.1027,0.1316
2012-01-20,0.1102,0.1491,0.1505,0.1121,-0.1158,0.1139,0.1013,0.1275
2012-01-23,0.1102,0.1484,0.1488,0.1119,-0.1197,0.1136,0.1018,0.1315
2012-01-24,0.1101,0.1511,0.1536,0.1122,-0.129,0.1128,0.1001,0.1296
2012-01-26,0.1101,0.1546,0.1588,0.1153,-0.1143,0.1154,0.1043,0.1343
2012-01-27,0.11,0.1554,0.1609,0.1167,-0.1077,0.1165,0.1059,0.1346
2012-01-30,0.11,0.1566,0.1627,0.1179,-0.1108,0.1172,0.1067,0.1357
2012-01-31,0.11,0.1562,0.16,0.1189,-0.1102,0.1173,0.1074,0.1381
2012-02-01,0.1099,0.1561,0.1568,0.1192,-0.1038,0.1179,0.1091,0.1406
2012-02-02,0.1099,0.1563,0.1537,0.1202,-0.0906,0.1184,0.1098,0.1383
2012-02-03,0.1099,0.1563,0.1546,0.1207,-0.0841,0.119,0.1113,0.1402
2012-02-06,0.1099,0.157,0.1563,0.122,-0.0837,0.1187,0.1112,0.1402
2012-02-07,0.1098,0.1582,0.1597,0.1224,-0.0609,0.1203,0.1144,0.1426
2012-02-08,0.1098,0.157,0.1573,0.1216,-0.0551,0.1211,0.1158,0.1441
2012-02-09,0.1098,0.1583,0.161,0.1238,-0.0535,0.1217,0.1163,0.1438
2012-02-10,0.1097,0.1601,0.1658,0.1248,-0.0814,0.1213,0.1142,0.1428
2012-02-13,0.1097,0.1599,0.1673,0.1234,-0.0449,0.1228,0.1191,0.1469
2012-02-14,0.1097,0.1621,0.1727,0.1232,-0.0453,0.1229,0.1194,0.1467
2012-02-15,0.1096,0.1623,0.1748,0.1246,-0.0201,0.1244,0.1231,0.15
2012-02-16,0.1096,0.1626,0.1747,0.1238,-0.0065,0.1252,0.1247,0.1501
2012-02-17,0.1096,0.1631,0.1769,0.1248,-0.0245,0.1245,0.1233,0.1502
2012-02-22,0.1096,0.1629,0.1774,0.1241,-0.009,0.125,0.1246,0.1511
2012-02-23,0.1095,0.1626,0.178,0.1242,-0.0143,0.1248,0.124,0.1509
2012-02-24,0.1095,0.1609,0.1735,0.1249,0.0103,0.1257,0.1252,0.1471
2012-02-27,0.1095,0.1603,0.1719,0.1253,-0.0019,0.1252,0.1245,0.1492
2012-02-29,0.1094,0.1639,0.176,0.1288,0.0006,0.126,0.1259,0.152
2012-03-01,0.1094,0.1645,0.1755,0.1286,0.0396,0.1287,0.1305,0.153
2012-03-02,0.1093,0.1654,0.1778,0.1303,0.0484,0.1303,0.1327,0.1537
2012-03-05,0.1093,0.1662,0.1792,0.1291,0.0182,0.1284,0.1282,0.149
2012-03-06,0.1093,0.166,0.1806,0.1274,-0.0219,0.1264,0.124,0.147
2012-03-07,0.1092,0.1667,0.1814,0.1288,-0.0049,0.1279,0.1269,0.1505
2012-03-08,0.1091,0.1702,0.1876,0.1314,-0.0098,0.1289,0.1284,0.1546
2012-03-09,0.109,0.1705,0.1889,0.1345,-0.0146,0.1295,0.1288,0.1558
2012-03-12,0.109,0.1699,0.1873,0.1342,-0.025,0.1289,0.1287,0.1597
2012-03-13,0.1089,0.1692,0.1877,0.1371,0.029,0.1321,0.1365,0.1688
2012-03-14,0.1088,0.1684,0.185,0.1378,0.0199,0.1314,0.1355,0.1694
2012-03-15,0.1087,0.1655,0.1876,0.138,0.0119,0.1308,0.1349,0.1705
2012-03-16,0.1087,0.1644,0.1861,0.1383,0.0116,0.1304,0.1339,0.1687
