,Volatilidade_data,Volatilidade_IMAB,Volatilidade_IHFA,Volatilidade_IMAB5,Volatilidade_CDI,Volatilidade_port1,Volatilidade_port4,Volatilidade_port8,Volatilidade_IBOV
0,2012-01-18,0.0361,0.0215,0.0206,0.0003,0.0188,0.0387,0.0505,0.2671
1,2012-01-19,0.0361,0.0214,0.0207,0.0003,0.0188,0.0387,0.0505,0.2633
2,2012-01-20,0.0364,0.0215,0.0207,0.0003,0.0188,0.0386,0.0504,0.2536
3,2012-01-23,0.0365,0.0215,0.0208,0.0003,0.0188,0.0386,0.0503,0.2531
4,2012-01-24,0.0361,0.0215,0.0206,0.0003,0.0188,0.0386,0.0502,0.252
5,2012-01-26,0.0364,0.0215,0.0209,0.0003,0.0189,0.0387,0.0503,0.2519
6,2012-01-27,0.0364,0.0215,0.0209,0.0003,0.0188,0.0387,0.0503,0.248
7,2012-01-30,0.0365,0.0215,0.021,0.0003,0.0188,0.0387,0.0503,0.2455
8,2012-01-31,0.0366,0.0215,0.021,0.0003,0.0188,0.0387,0.0503,0.2455
9,2012-02-01,0.0366,0.0215,0.021,0.0003,0.0189,0.0388,0.0502,0.2458
10,2012-02-02,0.0367,0.0216,0.021,0.0003,0.0189,0.0388,0.0501,0.2426
11,2012-02-03,0.0366,0.0216,0.021,0.0003,0.0189,0.0388,0.0502,0.2371
12,2012-02-06,0.0365,0.0215,0.021,0.0003,0.0189,0.0388,0.0502,0.2358
13,2012-02-07,0.0366,0.0215,0.021,0.0003,0.0189,0.0388,0.0501,0.235
14,2012-02-08,0.0364,0.0215,0.0209,0.0003,0.0189,0.0388,0.0501,0.225
15,2012-02-09,0.0366,0.0214,0.0209,0.0003,0.0189,0.0388,0.0502,0.2252
16,2012-02-10,0.0367,0.0213,0.021,0.0003,0.0189,0.0388,0.0502,0.2267
17,2012-02-13,0.0367,0.0213,0.021,0.0003,0.0189,0.039,0.0503,0.2286
18,2012-02-14,0.0368,0.0213,0.0209,0.0003,0.0189,0.039,0.0504,0.2283
19,2012-02-15,0.0367,0.0214,0.0209,0.0003,0.0189,0.0389,0.0502,0.2281
20,2012-02-16,0.0367,0.0214,0.0209,0.0003,0.0189,0.0389,0.0502,0.2285
21,2012-02-17,0.0368,0.0214,0.0209,0.0003,0.0189,0.0388,0.0502,0.2283
22,2012-02-22,0.0368,0.0214,0.0209,0.0003,0.0189,0.0388,0.0502,0.222
23,2012-02-23,0.0368,0.0214,0.0209,0.0003,0.0189,0.0388,0.0502,0.222
24,2012-02-24,0.037,0.0214,0.021,0.0004,0.0188,0.0388,0.0501,0.2188
25,2012-02-27,0.037,0.0214,0.021,0.0004,0.0188,0.0388,0.0501,0.2198
26,2012-02-29,0.0371,0.0214,0.021,0.0004,0.0189,0.0389,0.0502,0.2201
27,2012-03-01,0.0371,0.0214,0.021,0.0004,0.0188,0.0388,0.0502,0.2139
28,2012-03-02,0.0372,0.0215,0.0211,0.0004,0.0189,0.0389,0.0502,0.2148
29,2012-03-05,0.0372,0.0215,0.0211,0.0004,0.0189,0.0388,0.0501,0.2157
30,2012-03-06,0.0372,0.0215,0.0211,0.0004,0.019,0.039,0.0502,0.2231
31,2012-03-07,0.0372,0.0215,0.0211,0.0004,0.019,0.0391,0.0503,0.2211
32,2012-03-08,0.0377,0.0217,0.0214,0.0004,0.0191,0.0392,0.0505,0.2219
33,2012-03-09,0.0378,0.0218,0.0215,0.0004,0.0191,0.0392,0.0505,0.2195
34,2012-03-12,0.0378,0.0218,0.0215,0.0004,0.0191,0.0392,0.0505,0.2179
35,2012-03-13,0.0378,0.0219,0.0215,0.0004,0.0192,0.0393,0.0506,0.2187
36,2012-03-14,0.038,0.0218,0.0215,0.0004,0.0192,0.0393,0.0506,0.2155
37,2012-03-15,0.038,0.0218,0.0218,0.0004,0.0192,0.0393,0.0506,0.216
38,2012-03-16,0.0381,0.0218,0.0218,0.0004,0.0192,0.0393,0.0506,0.2139
39,2012-03-19,0.0383,0.0218,0.0219,0.0004,0.0192,0.0393,0.0506,0.2133
40,2012-03-20,0.0383,0.0218,0.0219,0.0004,0.0192,0.0393,0.0506,0.2114
41,2012-03-21,0.0382,0.0218,0.0219,0.0004,0.0192,0.0393,0.0506,0.2072
42,2012-03-22,0.0382,0.0218,0.0219,0.0004,0.0192,0.0393,0.0506,0.2088
43,2012-03-23,0.0382,0.0218,0.0219,0.0004,0.0192,0.0393,0.0506,0.2061
44,2012-03-26,0.0382,0.0218,0.0219,0.0005,0.0192,0.0393,0.0506,0.2072
45,2012-03-27,0.0382,0.0218,0.0219,0.0005,0.0192,0.0392,0.0505,0.2058
46,2012-03-28,0.0382,0.0218,0.0219,0.0005,0.0192,0.0393,0.0505,0.2079
47,2012-03-29,0.0382,0.0217,0.0218,0.0005,0.0192,0.0393,0.0505,0.2078
48,2012-03-30,0.0382,0.0216,0.0218,0.0005,0.0192,0.0393,0.0502,0.2058
49,2012-04-02,0.0382,0.0215,0.0218,0.0005,0.0192,0.0392,0.0502,0.2002
