Variação_Diária_(%),data
0.0,2010-12-30
0.3505,2011-01-03
-0.283,2011-01-04
0.2533,2011-01-05
-0.1067,2011-01-06
0.0189,2011-01-07
-0.1812,2011-01-10
-0.0814,2011-01-11
-0.1135,2011-01-12
0.5043,2011-01-13
0.1672,2011-01-14
-0.0039,2011-01-18
-0.1987,2011-01-19
0.108,2011-01-20
0.0039,2011-01-21
0.0651,2011-01-24
0.0797,2011-01-26
-0.0052,2011-01-27
-0.3406,2011-01-28
0.3598,2011-01-31
0.2697,2011-02-01
0.0498,2011-02-02
0.0733,2011-02-03
0.3406,2011-02-04
-0.1332,2011-02-07
0.0705,2011-02-08
0.031,2011-02-09
-0.0285,2011-02-10
0.4379,2011-02-11
-0.1196,2011-02-14
0.0619,2011-02-15
0.1229,2011-02-16
0.1039,2011-02-17
-0.1452,2011-02-18
-0.3354,2011-02-22
-0.1239,2011-02-23
0.1207,2011-02-24
0.139,2011-02-25
0.1277,2011-02-28
-0.1627,2011-03-01
0.0196,2011-03-02
0.2805,2011-03-03
0.2225,2011-03-04
-0.1034,2011-03-09
-0.1007,2011-03-10
-0.1666,2011-03-11
0.1215,2011-03-14
-0.5133,2011-03-15
-0.1973,2011-03-16
0.1708,2011-03-17
0.2922,2011-03-18
0.2254,2011-03-21
0.096,2011-03-22
0.2977,2011-03-23
0.1468,2011-03-24
0.1609,2011-03-25
0.0972,2011-03-28
0.0812,2011-03-29
0.3392,2011-03-30
-0.0543,2011-03-31
0.4188,2011-04-01
0.0668,2011-04-04
-0.0096,2011-04-05
0.1687,2011-04-06
0.1516,2011-04-07
-0.2417,2011-04-08
-0.1085,2011-04-11
0.2737,2011-04-12
-0.1409,2011-04-13
0.2414,2011-04-14
0.2459,2011-04-15
-0.4953,2011-04-18
0.1104,2011-04-19
0.328,2011-04-20
-0.019,2011-04-25
0.1889,2011-04-26
0.415,2011-04-27
0.1142,2011-04-28
-0.0901,2011-04-29
0.0619,2011-05-02
-0.2659,2011-05-03
-0.0363,2011-05-04
-0.1633,2011-05-05
0.1665,2011-05-06
0.0564,2011-05-09
0.3205,2011-05-10
-0.2236,2011-05-11
0.091,2011-05-12
-0.2146,2011-05-13
0.073,2011-05-16
0.0127,2011-05-17
0.0607,2011-05-18
-0.264,2011-05-19
0.0256,2011-05-20
-0.2865,2011-05-23
0.1326,2011-05-24
0.0945,2011-05-25
0.1868,2011-05-26
0.1782,2011-05-27
0.1864,2011-05-31
-0.5885,2011-06-01
0.1492,2011-06-02
-0.3165,2011-06-03
-0.2146,2011-06-06
-0.0066,2011-06-07
0.0166,2011-06-08
0.2629,2011-06-09
-0.1592,2011-06-10
0.0353,2011-06-13
0.2049,2011-06-14
-0.2591,2011-06-15
0.0205,2011-06-16
0.0718,2011-06-17
0.2967,2011-06-20
0.1744,2011-06-21
-0.0618,2011-06-22
-0.1632,2011-06-24
0.4161,2011-06-28
0.2007,2011-06-29
0.3918,2011-06-30
0.6067,2011-07-01
-0.1066,2011-07-05
0.1204,2011-07-06
