data,Variação_12_Meses_(%)
2008-07-11,
2008-07-14,
2008-07-15,
2008-07-16,
2008-07-17,
2008-07-18,
2008-07-21,
2008-07-22,
2008-07-23,
2008-07-24,
2008-07-25,
2008-07-28,
2008-07-29,
2008-07-30,
2008-07-31,
2008-08-01,
2008-08-04,
2008-08-05,
2008-08-06,
2008-08-07,
2008-08-08,
2008-08-11,
2008-08-12,
2008-08-13,
2008-08-14,
2008-08-15,
2008-08-18,
2008-08-19,
2008-08-20,
2008-08-21,
2008-08-22,
2008-08-25,
2008-08-26,
2008-08-27,
2008-08-28,
2008-08-29,
2008-09-01,
2008-09-02,
2008-09-03,
2008-09-04,
2008-09-05,
2008-09-08,
2008-09-09,
2008-09-10,
2008-09-11,
2008-09-12,
2008-09-15,
2008-09-16,
2008-09-17,
2008-09-18,
2008-09-19,
2008-09-22,
2008-09-23,
2008-09-24,
2008-09-25,
2008-09-26,
2008-09-29,
2008-09-30,
2008-10-01,4.0661
2008-10-02,3.3209
2008-10-03,3.1116
2008-10-06,2.0364
2008-10-07,1.6582
2008-10-08,1.211
2008-10-09,1.2479
2008-10-10,0.6857
2008-10-13,1.9587
2008-10-14,2.2662
2008-10-15,1.3719
2008-10-16,1.3987
2008-10-17,1.7
2008-10-20,2.2338
2008-10-21,2.25
2008-10-22,0.9119
2008-10-23,0.7771
2008-10-24,-0.3581
2008-10-27,-0.6259
2008-10-28,0.3297
2008-10-29,0.456
2008-10-30,0.8743
2008-10-31,0.9258
2008-11-03,1.1699
2008-11-04,1.6556
2008-11-05,1.2238
2008-11-06,1.1153
2008-11-07,1.3935
2008-11-10,1.4419
2008-11-11,1.5668
2008-11-12,1.2836
2008-11-13,1.7455
2008-11-14,1.9622
2008-11-17,1.7165
2008-11-18,1.4583
2008-11-19,1.4765
2008-11-20,1.7258
2008-11-21,1.4617
2008-11-24,2.2319
2008-11-25,2.4124
2008-11-26,2.7252
2008-11-27,2.8001
2008-11-28,3.5074
2008-12-01,2.7658
2008-12-02,3.0037
2008-12-03,2.7749
2008-12-04,2.6693
2008-12-05,2.8416
2008-12-08,3.0532
2008-12-09,3.1096
2008-12-10,3.1544
2008-12-11,3.2415
2008-12-12,3.3561
2008-12-15,3.5048
2008-12-16,3.8797
2008-12-17,3.9246
2008-12-18,4.4291
2008-12-19,4.5811
2008-12-22,4.324
2008-12-23,4.2514
2008-12-24,4.1004
2008-12-26,4.1785
2008-12-29,3.9005
2008-12-30,4.0118
2008-12-31,3.8161
2009-01-02,4.16
2009-01-05,4.2553
2009-01-06,4.5907
2009-01-07,4.5361
2009-01-08,4.7164
2009-01-09,5.0092
2009-01-12,4.6395
2009-01-13,4.8558
2009-01-14,4.5128
2009-01-15,4.9304
2009-01-16,5.3353
2009-01-19,5.5415
2009-01-20,5.5044
2009-01-21,6.4115
2009-01-22,6.2448
2009-01-23,6.6689
2009-01-26,6.2454
2009-01-27,6.3217
2009-01-28,6.5428
2009-01-29,6.1335
2009-01-30,6.1322
2009-02-02,5.9303
2009-02-03,6.0532
2009-02-04,6.1191
2009-02-05,6.311
2009-02-06,6.6164
2009-02-09,6.5316
2009-02-10,6.5346
2009-02-11,6.3968
2009-02-12,6.1635
2009-02-13,6.3132
2009-02-16,6.342
2009-02-17,6.1978
2009-02-18,5.9969
2009-02-19,5.8693
2009-02-20,5.7974
2009-02-25,5.5086
2009-02-26,5.5837
2009-02-27,5.6907
2009-03-02,5.2521
2009-03-03,5.2278
2009-03-04,5.5467
2009-03-05,5.307
2009-03-06,5.5919
2009-03-09,5.778
2009-03-10,6.4013
2009-03-11,6.4521
2009-03-12,6.4638
2009-03-13,6.9546
2009-03-16,7.1734
2009-03-17,7.5585
2009-03-18,7.4668
2009-03-19,7.9038
2009-03-20,8.1887
2009-03-23,8.4661
2009-03-24,8.4424
2009-03-25,8.6049
2009-03-26,8.7253
2009-03-27,8.6656
2009-03-30,8.5741
2009-03-31,8.656
2009-04-01,8.9261
2009-04-02,9.0563
2009-04-03,9.1531
2009-04-06,9.1985
2009-04-07,9.1891
2009-04-08,9.4484
2009-04-09,9.6901
2009-04-13,9.6488
2009-04-14,9.5337
2009-04-15,9.6005
2009-04-16,9.6531
2009-04-17,9.5216
2009-04-20,9.2476
2009-04-22,9.3511
2009-04-23,9.2916
2009-04-24,9.6729
2009-04-27,9.7297
2009-04-28,9.9847
2009-04-29,10.2993
2009-04-30,10.2105
2009-05-04,10.1287
2009-05-05,10.0596
2009-05-06,10.3343
2009-05-07,10.4125
2009-05-08,10.6768
2009-05-11,10.671
2009-05-12,10.5531
2009-05-13,10.2471
2009-05-14,10.5639
2009-05-15,10.5284
2009-05-18,10.8564
2009-05-19,10.8511
2009-05-20,10.8395
2009-05-21,10.6269
2009-05-22,10.8009
2009-05-25,10.8054
2009-05-26,10.714
2009-05-27,10.9591
2009-05-28,10.858
2009-05-29,10.94
2009-06-01,10.9324
2009-06-02,10.9962
2009-06-03,10.8915
2009-06-04,11.2188
2009-06-05,10.8922
2009-06-08,10.7837
2009-06-09,10.6343
2009-06-10,10.7637
2009-06-12,11.0884
2009-06-15,10.9589
2009-06-16,10.8475
2009-06-17,10.7169
2009-06-18,10.7391
2009-06-19,10.8836
2009-06-22,10.811
2009-06-23,11.0186
2009-06-24,11.0523
